Host_ID,Genus_spp,DBH_cm,Circumference_cm,Host_height,Host_horizontal_distance
H0001,Tilia X europaea,117.1381371,368,23.98715586,30
H0003,Tilia X europaea,21.32678039,67,16.79239761,11
H0004,Tilia X europaea,76.5,NA,24.84239174,23
H0005,Tilia X europaea,148,NA,23.86403898,33
H0006,Tilia X europaea,93.2,NA,23.82045717,37
H0007,Malus sp.,24.66901618,77.5,7.008418066,9
H0008,Tilia X europaea,NA,NA,28.58818705,19
H0009,Tilia X europaea,88.5,117,25.93305184,58
H0126,Tilia X europaea,114,NA,24.18673796,28
H0127,Tilia X europaea,107.9071426,339,23.15983909,31
H0128,Populus x canadensis,77.74725537,244.25,22.87983395,19
H0129,Populus x canadensis,69.07330365,217,21.83326943,17
H0130,Tilia X europaea,93.42403051,293.5,31.14853509,26
H0131,Tilia X europaea,NA,NA,19.36630473,24
H0132,Tilia X europaea,86,NA,26.20009779,20
H0133,Tilia X europaea,90.78197954,285.2,26.39441595,33
H0134,Tilia X europaea,87.5352187,275,22.34465942,26
H0140,Malus tschonoskii,37.00355552,116.25,7.033967651,9
H0141,Malus 'Golden Hornet,27.85213857,87.5,6.69661751,7
H0142,Sorbus sargentiana,NA,NA,4,NA
H0143,Tilia X europaea,151.833944,477,25.02660953,22
H0144,Tilia X europaea,118.4113777,372,24.31831107,19
H0604,Tilia X europaea,NA,NA,19.03995837,20
H1111,Crataegus monogyna,117,NA,6.35,NA
H1120,Populus x canescens,34.53665182,108.5,22.00538237,19
H5353,Tilia X europaea,119,NA,28.38613588,28
H5768,Tilia X europaea,102,319,19.04200838,28
