Host ID,Mistletoe ID,Height,Hypotenuse,Horizontal,Angle,ImputedHeight,Area14,Perim14,Fruit14,Status15,Area15,Perim15,Fruit15,Status16,Area16,Perim16,Fruit16,Status17,Area17,Perim17,Fruit17,Status18,Area18,Perim18,Fruit18,Status19,Area19,Perim19,Fruit19,Status20,Area20,Perim20,Fruit20,Status21,Area21,Perim21,Fruit21,Status22,Area22,Perim22,Fruit22,Status23,Area23,Perim23,Fruit23,Notes
NewSite1,M001,20.346655,34.2,30,33,NA,1328.444,156.001,0,Dead,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NewSite1,M002,#VALUE!,25,NA,NA,16.486,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,FC,704.302,112.78,0,Surv,1182.331,139.335,0,Surv,2381.957,198.696,0,Surv,4008.27,264.184,0,Surv,5160.804,277.132,0,Dead,NA,NA,NA,
NewSite1,M003,#VALUE!,NA,NA,NA,22.665,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,FC,678.549,155.115,0,
NewSite1,M004,#VALUE!,NA,NA,NA,21.366,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,FC,122.713,47.053,0,
NewSite3,M001,17.07842773,21,14,47,NA,2775.426,217.979,0,Surv,1549.873,152.387,0,Surv,1090.344,123.345,0,Surv,1036.427,136.287,0,Surv,403.935,87.614,0,Surv,464.229,83.903,0,Dead,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NewSite3,M002,12.42737425,15.7,11,43,NA,456.326,91.809,0,Surv,610.921,107.416,0,Surv,389.451,117.551,0,Surv,418.477,99.175,0,Surv,263.862,71.124,0,Surv,546.732,88.145,0,Surv,421.963,87.714,0,Surv,630.616,101.017,0,Surv,433.471,93.427,0,Surv,1348.814,151.214,0,
NewSite3,M003,12.35917664,15.9,12,42,NA,1706.3,191.674,0,Surv,1984.767,211.776,0,Surv,1896.063,196.282,1,Surv,2296.567,210.394,1,Surv,1715.411,61.171,0,Surv,2653.756,246.496,1,Surv,2378.546,224.565,1,Surv,2452.804,215.042,0,Surv,2870.639,228.054,0,Surv,2543.931,242.024,1,
NewSite3,M004,14.95993051,22,17,37,NA,4741.05,280.482,0,Surv,5140.284,275.614,0,Surv,5506.601,304.314,1,Surv,6136.139,308.715,1,Surv,6734.711,318.394,0,Surv,8012.986,354.124,1,Surv,11703.028,434.421,1,Surv,10769.771,420.909,1,Surv,11204.926,432.535,1,Surv,7780.71,368.054,1,
NewSite3,M005,12.08637507,15.2,11,43,NA,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,FC,476.241,96.643,0,Surv,567.457,97.955,0,Surv,88.139,131.73,0,Dead,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NewSite3,M006,#VALUE!,NA,NA,NA,19.975,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,FC,738.971,113.351,0,Surv,2290.213,190.449,0,Surv,2262.911,190.187,0,Surv,1458.057,166.743,1,
